,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Florida
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Indiana
10,Louisiana
11,Maine
12,Maryland
13,Massachusetts
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nevada
19,New Hampshire
20,New Jersey
21,New Mexico
22,North Carolina
23,North Dakota
24,Ohio
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Carolina
30,South Dakota
31,Tennessee
32,Vermont
33,Virginia
34,West Virginia
35,Wisconsin
36,Wyoming
